age0to19,age20to39,age40to59,age60to79,age80over,house
156,197,265,255,103,391
156,175,265,298,78,393
149,179,271,270,101,417
152,170,274,300,73,455
183,237,274,217,57,416
180,203,318,204,61,435
131,171,233,329,99,391
110,140,277,297,139,436
124,182,241,282,132,426
149,186,246,254,118,403
196,290,213,168,85,409
184,248,295,178,45,445
146,169,202,336,97,350
216,238,225,207,63,351
183,140,289,242,89,386
145,172,246,293,86,388
134,162,288,233,122,455
146,201,255,213,122,447
88,139,239,321,149,366
197,181,263,218,70,383
154,173,264,255,83,425
102,267,234,247,77,537
142,175,245,246,119,417
132,181,248,302,62,428
109,127,269,305,113,393
138,161,299,247,77,459
144,192,281,218,86,393
208,162,270,244,36,335
122,127,254,299,118,388
142,211,266,235,65,442
168,232,265,201,52,398
176,182,283,221,56,401
144,189,228,280,75,436
150,171,234,284,77,368
141,172,257,252,93,388
132,173,269,232,108,417
173,185,249,229,76,373
200,202,289,182,37,336
138,178,267,244,81,375
127,132,215,343,88,404
129,168,246,274,86,428
141,150,226,338,47,367
118,176,258,253,94,429
103,272,267,199,58,506
110,149,230,300,109,344
174,201,288,195,39,379
110,137,229,276,137,395
156,162,218,247,101,376
150,165,237,245,83,378
108,174,217,269,111,421
158,161,265,193,102,310
162,212,272,189,41,386
122,180,237,254,83,400
133,162,244,244,92,369
119,173,244,257,81,371
198,175,296,127,73,314
199,193,247,177,53,357
110,188,214,250,107,345
184,209,254,186,35,358
98,142,224,252,150,373
173,213,231,180,68,357
169,206,219,232,38,341
133,173,234,223,96,391
149,147,228,278,56,359
166,162,257,196,76,355
168,176,239,215,57,348
101,151,217,269,115,389
132,141,206,261,113,381
112,150,236,274,81,362
106,209,248,203,85,460
101,173,249,243,84,403
164,187,234,222,43,335
95,130,211,328,82,356
123,143,239,253,79,356
126,148,238,235,81,328
144,164,257,172,88,362
115,182,211,216,97,394
144,172,221,200,83,341
148,153,209,235,74,348
117,145,225,236,92,375
133,178,237,187,75,374
124,177,204,227,76,377
119,131,215,236,105,376
116,178,263,204,44,355
108,159,211,244,81,349
146,174,291,154,36,369
156,188,198,202,50,347
128,166,190,248,62,348
167,127,233,188,78,317
138,185,238,193,36,325
137,160,191,247,52,323
138,161,216,214,57,316
148,151,225,198,63,355
165,248,218,130,24,362
101,179,220,220,61,389
174,247,187,125,48,305
124,147,190,247,72,291
135,162,227,190,65,363
147,171,204,174,82,367
98,138,184,231,127,300
127,194,211,164,80,381
127,133,215,219,82,319
117,123,228,233,75,290
74,127,214,283,76,409
97,138,206,231,101,329
194,197,144,187,49,498
142,154,197,191,83,314
82,126,202,242,102,364
107,125,194,236,90,346
113,144,217,194,84,316
153,167,188,206,36,302
133,137,182,215,81,299
123,126,187,250,62,287
116,124,193,247,64,290
178,105,239,170,50,276
89,138,205,216,93,409
156,147,219,160,57,295
119,136,198,192,92,341
160,183,201,152,40,297
121,136,200,205,73,318
127,148,202,201,57,290
101,167,214,202,50,378
84,136,212,209,90,367
86,149,190,207,98,366
139,203,183,158,45,309
131,132,202,223,39,276
130,150,222,184,38,324
95,133,157,240,95,301
169,140,215,152,44,267
128,177,202,169,43,311
99,201,177,176,64,344
144,184,197,144,48,302
153,139,206,152,66,275
84,124,188,237,83,257
126,165,193,165,63,301
153,91,215,199,53,283
134,158,218,158,43,331
95,131,189,221,73,329
92,120,186,216,94,318
117,163,196,176,56,285
125,132,210,200,39,319
77,97,169,247,111,289
114,138,215,166,65,290
121,102,233,176,65,293
113,91,178,235,77,279
93,114,193,218,76,266
116,128,188,188,72,273
144,152,179,168,46,294
101,97,163,239,87,255
126,113,206,171,69,299
130,185,199,123,47,292
120,137,203,182,40,287
111,147,177,183,63,314
85,138,187,196,73,315
144,126,182,172,52,274
109,132,178,199,56,288
123,140,201,143,65,279
88,147,171,176,90,337
88,146,166,209,60,326
88,117,197,196,71,287
117,119,192,159,76,297
86,127,191,200,56,299
92,147,184,158,76,310
94,163,212,134,51,367
108,154,193,158,40,287
75,129,207,173,66,342
121,122,195,138,74,274
115,116,186,159,70,276
77,153,177,184,53,351
64,100,169,221,89,267
63,143,148,232,55,310
59,112,180,227,62,314
126,132,179,154,47,256
121,149,184,152,32,265
71,123,158,212,71,321
73,128,159,192,82,328
103,125,166,185,53,289
93,118,156,176,89,290
111,127,156,184,52,262
107,171,173,138,40,284
57,135,156,193,86,359
97,115,156,190,68,220
86,101,148,233,58,288
116,116,152,176,62,243
106,126,186,156,42,253
135,104,177,138,60,254
71,125,167,182,67,305
101,124,196,148,40,273
57,101,146,192,111,332
90,99,153,182,76,228
109,119,166,159,46,221
113,125,167,154,40,242
58,81,113,230,113,311
74,99,185,193,43,272
83,150,172,140,48,317
88,108,148,179,70,256
74,80,148,221,68,275
90,83,174,166,77,263
62,118,138,197,75,292
115,117,169,130,56,239
80,113,161,188,42,268
85,86,148,185,77,231
107,148,140,139,44,235
93,107,170,143,64,235
80,135,173,141,46,334
81,103,148,177,66,299
65,104,161,168,76,266
94,92,163,145,78,245
95,128,161,154,33,249
80,81,155,175,78,261
63,88,132,196,89,237
88,113,162,150,53,244
76,97,159,172,61,263
60,89,120,190,106,265
45,120,125,208,63,286
60,102,188,161,49,321
94,99,142,177,48,244
81,113,158,144,63,265
80,98,148,170,62,264
99,83,148,192,35,217
102,89,154,151,60,246
85,102,157,173,37,230
67,85,129,201,72,219
70,103,140,169,70,280
84,99,162,141,64,270
77,107,167,142,57,236
104,145,138,104,59,239
89,126,138,144,52,231
61,86,144,187,70,280
82,96,159,151,60,236
81,99,140,160,64,251
66,97,138,171,63,236
94,110,145,135,51,226
90,98,138,169,38,223
96,101,138,152,46,216
83,110,161,130,46,213
85,96,152,166,29,204
86,130,138,140,32,255
55,85,107,218,57,216
66,96,144,153,63,234
85,105,145,125,59,219
82,99,118,162,57,239
101,114,135,118,50,217
59,154,165,106,33,298
72,94,134,178,38,245
111,87,196,87,33,239
75,84,167,150,38,233
78,68,149,159,59,231
50,94,123,155,90,189
74,114,138,134,50,235
83,121,148,122,36,270
46,95,125,172,71,222
49,67,132,189,71,249
93,137,133,112,25,228
96,132,158,81,29,219
83,98,131,129,52,208
79,71,149,134,60,214
86,91,144,130,34,208
57,137,130,105,55,258
90,61,153,135,43,195
58,107,131,143,42,236
54,84,116,171,53,171
92,145,112,93,31,172
66,101,126,130,48,219
55,126,109,136,42,259
49,82,122,153,58,222
63,109,132,116,43,213
62,69,108,185,38,188
77,100,140,113,28,197
67,74,138,133,46,208
50,72,90,132,112,200
45,59,121,166,65,225
63,107,103,125,56,211
99,97,115,98,44,186
67,92,132,106,55,230
66,71,118,140,55,194
38,51,79,127,155,274
81,121,118,95,33,185
42,68,111,168,58,182
56,73,103,154,60,165
49,73,126,135,61,171
102,106,141,73,18,198
64,74,123,129,49,171
79,80,127,120,32,187
67,87,126,109,45,197
76,61,110,162,23,162
76,80,128,115,33,167
62,79,125,115,50,191
31,86,114,143,56,231
54,83,129,132,27,206
72,132,105,94,20,193
52,51,74,116,130,242
76,109,152,68,17,207
45,55,115,138,68,200
34,106,103,117,54,219
72,89,95,113,45,203
41,107,128,104,29,220
62,58,133,117,39,194
67,78,103,128,31,167
66,110,112,100,19,190
51,80,111,117,45,180
56,79,114,94,60,194
54,98,102,102,45,181
103,154,111,23,10,176
45,65,131,112,46,215
35,134,105,87,38,285
43,45,86,151,73,181
38,99,119,110,32,211
62,82,104,111,38,190
